lig id,mass,mass status,suitable lig,suitable type,NMP/NDP/NTP,water,complex,small mol,solvent/buffer,linker,covalent
SPR,,,0,0,0,0,0,0,0,0,1
WCG,530.0144152419997,exact,0,0,1,0,0,0,0,0,0
MGT,,,0,0,0,0,0,0,0,0,3
ZBU,,,0,0,0,0,0,0,0,0,2
G35,,,0,0,0,0,0,0,0,0,12
ILA,458.1696015520001,exact,0,1,0,0,0,0,0,0,0
TM2,,,0,0,0,0,0,0,0,0,4
2BP,135.05449516,exact,0,1,0,0,0,0,0,0,0
EQ4,428.09578151400007,exact,1,1,4,0,0,0,0,0,0
SCY,,,0,0,0,0,0,0,0,0,3
LSS,459.1536171400001,exact,0,5,0,0,0,0,0,0,0
GZG,461.206304344,exact,0,0,1,0,0,0,0,0,0
2ZE,338.24570956799994,exact,0,0,1,0,0,0,0,0,0
GAU,133.073893212,exact,0,2,0,0,0,0,0,0,0
SDG,,,0,0,0,0,0,0,0,0,6
PHA,,,0,0,0,0,0,0,0,0,10
6EK,658.2226149999999,exact,1,1,0,0,0,0,0,0,0
9K9,345.047434354,exact,0,2,0,0,0,0,0,0,0
DM1,527.1791461279998,exact,1,1,0,0,0,0,0,0,0
TOY,467.259127764,exact,2,2,0,0,0,0,0,0,0
L94,336.29795083236,exact,2,2,0,0,0,0,0,0,0
86P,868.0380944359997,exact,0,0,1,0,0,0,0,0,0
RIA,,,0,0,0,0,0,0,0,0,4
AET,,,0,0,0,0,0,0,0,0,2
SVN,151.02041816,exact,0,1,0,0,0,0,0,0,0
N33,514.248622656,exact,1,1,0,0,0,0,0,0,0
2QC,191.051718288,exact,0,1,0,0,0,0,0,0,0
PQ0,175.04940978,exact,0,1,0,0,0,0,0,0,0
TTD,,,0,0,0,0,0,0,0,0,6
KAK,,,0,0,0,0,0,0,0,0,1
AMZ,338.06275007000005,exact,5,5,0,0,0,0,0,0,0
GF2,365.0536626060001,exact,1,1,0,0,0,0,0,0,16
5AZ,112.038510748,exact,0,1,0,0,0,0,0,0,0
3QB,406.2137578079999,exact,1,1,0,0,0,0,0,0,0
